nest,site,year,lat,lon,cov_1m,cov_5m,prot,pred,estHD,init_date,camera,field_fate,cam_fateNA,cam_fate,final_fate,nest_age,final_obs_int,final_obs_date,species,likely_failed,i,j,j_adj,k,k_adj,j.cam,k.cam,n_obs,n_days,> hatch?,penultimate,final,obs_dates,obs_history,obs_ints,new_notes,camera_notes,field_notes
10001,ROCK,2019,29.67155,-92.85596,0,0,none,,34,6,N,S,TRUE,,S,12,18,18,WIPL,1,10,10,10,18,18,,,2,8,0,3E,fail,10|18,3E|fail,0|8,,,"24 Apr- 1 egg, 9d, 2 eggs 5d. 28-Apr: nest washed out, 1 egg looked like new nest, but floating showed >1 day old (probably washed out of nest) no stick or cup"
10002,ROJH,2019,29.63637,-92.7708,0,0,none,,43,15,N,D,TRUE,,D,11,26,26,WIPL,1,12,20,20,26,26,,,3,14,0,3E,fail,12|20|26,1E|3E|fail,0|8|6,,,"evidence of coyote and GC in the area, but cannot define predator"
10003,ROJH,2019,29.63737,-92.77457,0,0,none,,31,3,N,S,TRUE,,S,17,20,20,WIPL,1,12,12,12,20,20,,,2,8,0,3E,fail,12|20,3E|fail,0|8,,,"22 Apr, 1 egg, 9d, 2 eggs at 5d. 30 Apr, nest empty, stick gone. Clear signs of storm surge with photo. "
10004,ROCK,2019,29.67027,-92.85163,0,5,none,,39,11,N,S,TRUE,,S,7,18,18,WIPL,1,14,14,14,18,18,,,2,4,0,2E,fail,14|18,2E|fail,0|4,,,"24 Apr- 2 eggs, 5d. 28-Apr: nest washed out, 1 egg in wrack, no stick or nest cup"
10005,RUTW,2019,29.76678,-93.16026,20,30,none,,45,17,N,A,TRUE,,A,2,19,19,WIPL,1,16,16,16,19,19,,,2,3,0,2E,fail,16|19,2E|fail,0|3,,,29 Apr- nest abandoned with 2 eggs abandoned due to cattle disturbance
10006,RUTW,2019,29.76756,-93.16419,5,20,none,,45,16,N,H,TRUE,,H,28,44,44,WIPL,0,16,44,44,44,44,,,8,28,0,3E,"2C, 1E",16|19|23|26|29|35|40|44,"2E|3E|3E|3E|3E|3E|3E|2C, 1E",0|3|4|3|3|6|5|4,,,"24 May- KBB 2 chicks in nest, 1 egg starring. Banded the 2 chicks at nest, adults present."
10007,RUTW,2019,29.77011,-93.17724,5,20,sym,,,,N,H,TRUE,,H,38,38,38,SNPL,,16,38,38,38,38,,,10,22,,"3E, 1E pipped","2C, 1E hatch day",16|19|23|26|29|32|33|35|37|38,"3E|3E|3E|3E|3E|BON|BON|3E|3E, 1E pipped|2C, 1E hatch day",0|3|4|3|3|3|1|2|2|1,,,KBB nest hatched May 18- female brooding chicks at nest scrape. Both adults observed at nest on hatch day.
10008,RUTW,2019,29.77064,-93.1806,20,15,none,,45,13,N,H,TRUE,,H,31,44,44,WIPL,0,16,41,41,41,41,,,9,28,0,hatch day,0E,16|19|23|26|29|35|40|41|44,2E|3E|3E|3E|nest behavior|3E|3E|hatch day|0E,0|3|4|3|3|6|5|1|3,,,24 May- KBB nest empty but adult behavior and 2C observed at 1-4 days of age. One chick was banded at the shoreline. Pretty confident this was a successful nest.
10009,RUTW,2019,29.76413,-93.14734,5,10,none,,38,19,N,F,TRUE,,F,6,25,25,LETE,1,17,22,22,25,25,,,3,8,0,2E,empty,17|22|25,2E|2E|empty,0|5|3,,,no eggs or adult behavior near nest scrape. Cattle tracks and ghost crabs present.
10010,RUTW,2019,29.76166,-93.13636,0,5,none,,37,18,N,F,TRUE,,F,19,37,37,LETE,0,17,34,34,37,37,,,7,20,0,cracked,fail,17|22|25|26|29|34|37,1E|BON|2E|BON|BON|cracked|fail,0|5|3|1|3|5|3,,,wondering about an avian predator? No adults giving signs of a hatch. No adult at nest on May 17.
