"","nest","is_u","HF_mis","misclass","species","cam_fate","nest_age","fdate","obs_int","remove"
"1",10033,"0","0","0","LETE","Hu",8,34,2,FALSE
"2",10048,"1","1","1","LETE","Hu",22,48,5,FALSE
"3",10072,"0","0","0","LETE","H",19,44,4,FALSE
"4",10122,"0","0","0","LETE","F",12,72,4,FALSE
"5",10125,"0","0","1","LETE","Hu",9,72,5,FALSE
"6",10126,"0","0","0","LETE","Hu",14,77,5,FALSE
"7",10127,"0","0","0","LETE","H",22,81,3,FALSE
"8",10206,"0","1","1","LETE","A",28,49,5,FALSE
"9",10210,"1","1","1","LETE","H",24,49,5,FALSE
"10",10211,"0","0","0","LETE","H",20,44,1,FALSE
"11",10223,"0","0","1","LETE","Hu",18,53,4,FALSE
"12",10225,"1","1","1","LETE","H",27,63,10,FALSE
"13",10229,"1","1","1","LETE","H",23,49,5,FALSE
"14",10231,"1","1","1","LETE","Hu",21,57,4,FALSE
"15",10233,"0","0","0","LETE","H",19,63,6,FALSE
"16",10234,"1","1","1","LETE","A",28,63,4,FALSE
"18",10240,"1","1","1","LETE","D",9,35,6,FALSE
"19",10241,"0","0","0","LETE","H",21,53,4,FALSE
"20",10242,"1","1","1","LETE","D",10,40,5,FALSE
"21",10256,"0","0","1","LETE","D",22,53,4,FALSE
"22",10257,"0","0","1","LETE","D",18,53,4,FALSE
"23",10258,"1","1","1","LETE","D",13,49,5,FALSE
"24",10288,"0","0","0","LETE","H",19,67,4,FALSE
"25",10298,"0","0","0","LETE","F",12,61,4,FALSE
"26",10299,"1","1","1","LETE","H",23,72,4,FALSE
"27",10307,"0","0","0","LETE","F",7,61,7,FALSE
"28",10308,"0","0","1","LETE","A",10,61,7,FALSE
"29",10310,"0","0","0","LETE","H",19,84,7,FALSE
"30",10311,"0","0","0","LETE","H",21,77,5,FALSE
"31",10319,"0","0","0","LETE","H",20,81,1,FALSE
"32",10322,"0","0","0","LETE","Hu",9,81,4,FALSE
"33",10323,"1","1","1","LETE","H",25,90,6,FALSE
"38",10329,"0","0","1","LETE","S",24,97,5,FALSE
